CustomerID,Recency,Frequency,Monetary,TotalQuantity,AvgQuantityPerOrder,AvgUnitPrice,UniqueProducts,FirstPurchase,LastPurchase,CustomerLifetime,AvgOrderValue,PurchaseFrequency,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,326,1,77183.6,74215,74215.0,1.04,1,2011-01-18 10:01:00,2011-01-18 10:01:00,0,77183.6,1.0,1,1,5,115,About to Sleep
12347.0,2,7,4310.0,2458,13.505494505494505,2.644010989010989,103,2010-12-07 14:57:00,2011-12-07 15:52:00,365,615.7142857142857,0.01912568306010929,5,5,5,555,Champions
12348.0,75,4,1437.24,2332,86.37037037037037,0.692962962962963,21,2010-12-16 19:09:00,2011-09-25 13:13:00,282,359.31,0.014134275618374558,2,4,4,244,Loyal Customers
12349.0,19,1,1457.55,630,8.75,4.237500000000001,72,2011-11-21 09:51:00,2011-11-21 09:51:00,0,1457.55,1.0,4,1,4,414,Potential Loyalists
12350.0,310,1,294.4,196,12.25,1.58125,16,2011-02-02 16:01:00,2011-02-02 16:01:00,0,294.4,1.0,1,1,2,112,About to Sleep
12352.0,36,7,1385.74,526,6.8311688311688314,4.075454545454545,57,2011-02-16 12:33:00,2011-11-03 14:37:00,260,197.96285714285713,0.02681992337164751,3,5,4,354,Loyal Customers
12353.0,204,1,89.0,20,5.0,6.074999999999999,4,2011-05-19 17:47:00,2011-05-19 17:47:00,0,89.0,1.0,1,1,1,111,About to Sleep
12354.0,232,1,1079.4,530,9.137931034482758,4.5037931034482765,58,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1079.4,1.0,1,1,4,114,About to Sleep
12355.0,214,1,459.4,240,18.46153846153846,4.203846153846154,13,2011-05-09 13:49:00,2011-05-09 13:49:00,0,459.4,1.0,1,1,2,112,About to Sleep
12356.0,23,3,2487.43,1573,27.120689655172413,2.9460344827586207,52,2011-01-18 09:50:00,2011-11-17 08:40:00,302,829.1433333333333,0.009900990099009901,4,3,5,435,Potential Loyalists
12357.0,33,1,6207.67,2708,20.671755725190838,3.3486259541984733,131,2011-11-06 16:07:00,2011-11-06 16:07:00,0,6207.67,1.0,4,1,5,415,Potential Loyalists
12358.0,2,2,928.0600000000001,242,14.235294117647058,4.541764705882353,12,2011-07-12 10:04:00,2011-12-08 10:26:00,149,464.03000000000003,0.013333333333333334,5,2,4,524,Potential Loyalists
12359.0,58,4,6372.58,1622,6.540322580645161,8.620403225806452,214,2011-01-12 12:43:00,2011-10-13 12:47:00,274,1593.145,0.014545454545454545,3,4,5,345,Loyal Customers
12360.0,52,3,2302.06,1156,9.174603174603174,2.681825396825397,104,2011-05-23 09:43:00,2011-10-18 15:22:00,148,767.3533333333334,0.020134228187919462,3,3,5,335,Promising
12361.0,287,1,174.9,90,10.0,2.038888888888889,9,2011-02-25 13:51:00,2011-02-25 13:51:00,0,174.9,1.0,1,1,1,111,About to Sleep
12362.0,3,10,4737.23,2197,8.58203125,3.4972265625,200,2011-02-17 10:30:00,2011-12-06 15:40:00,292,473.72299999999996,0.034129692832764506,5,5,5,555,Champions
12363.0,110,2,552.0,408,17.73913043478261,2.3117391304347827,23,2011-04-11 13:29:00,2011-08-22 10:18:00,132,276.0,0.015037593984962405,2,2,3,223,About to Sleep
12364.0,8,4,1208.1,1499,18.506172839506174,1.2638271604938272,69,2011-08-19 15:24:00,2011-12-02 10:22:00,104,302.025,0.0380952380952381,5,4,4,544,Champions
12365.0,291,1,320.69,173,8.238095238095237,2.6961904761904765,21,2011-02-21 13:51:00,2011-02-21 13:51:00,0,320.69,1.0,1,1,2,112,About to Sleep
